transaction_id,user_id,purchase_date,amount_inr,product,status,acquisition_channel,region,device,cohort_month,month
TXN_329258,USR_00001,2024-01-17,448.38,One-Time Purchase,completed,Google_Search,North,mobile,2024-01,2024-01
TXN_948749,USR_00002,2023-10-15,2172.81,Pro Plan,completed,Meta_Facebook,Central,mobile,2023-10,2023-10
TXN_201414,USR_00003,2023-06-24,5510.05,Enterprise Plan,completed,Email,South,desktop,2023-06,2023-06
TXN_969693,USR_00004,2023-01-23,669.36,One-Time Purchase,completed,Organic,Central,tablet,2023-01,2023-01
TXN_183667,USR_00005,2023-07-05,829.63,Basic Plan,completed,TikTok,South,mobile,2023-07,2023-07
TXN_270555,USR_00005,2023-07-31,3286.72,One-Time Purchase,completed,TikTok,South,desktop,2023-07,2023-07
TXN_271339,USR_00006,2023-07-01,2300.21,Pro Plan,completed,Meta_Facebook,East,desktop,2023-07,2023-07
TXN_340174,USR_00006,2023-08-14,2525.92,Pro Plan,completed,Meta_Facebook,East,mobile,2023-07,2023-08
TXN_634277,USR_00008,2023-09-17,2000.38,One-Time Purchase,completed,Organic,South,desktop,2023-09,2023-09
TXN_265840,USR_00010,2023-01-06,5556.76,Enterprise Plan,completed,Google_Search,Central,desktop,2023-01,2023-01
TXN_351083,USR_00012,2023-06-15,9392.61,Enterprise Plan,completed,Organic,North,mobile,2023-06,2023-06
TXN_676510,USR_00013,2023-02-10,1691.59,Pro Plan,completed,Google_Search,West,mobile,2023-02,2023-02
TXN_446479,USR_00014,2024-02-27,613.47,Basic Plan,completed,Meta_Facebook,East,mobile,2024-02,2024-02
TXN_858490,USR_00014,2024-04-19,1305.91,One-Time Purchase,completed,Meta_Facebook,East,tablet,2024-02,2024-04
TXN_544154,USR_00015,2023-08-31,828.49,Basic Plan,completed,Organic,South,desktop,2023-08,2023-08
TXN_360735,USR_00016,2023-01-28,9001.96,Enterprise Plan,completed,Google_Search,North,mobile,2023-01,2023-01
TXN_585100,USR_00016,2023-03-01,2131.82,Pro Plan,completed,Google_Search,North,mobile,2023-01,2023-03
TXN_274389,USR_00017,2023-10-09,962.18,Basic Plan,completed,Google_Search,North,desktop,2023-10,2023-10
TXN_509386,USR_00018,2023-09-06,581.32,Basic Plan,completed,Organic,South,desktop,2023-09,2023-09
TXN_328275,USR_00018,2023-10-25,1026.55,One-Time Purchase,completed,Organic,South,mobile,2023-09,2023-10
TXN_523389,USR_00020,2023-09-18,836.61,Basic Plan,completed,Google_Search,South,mobile,2023-09,2023-09
TXN_789305,USR_00020,2023-11-13,808.69,Basic Plan,completed,Google_Search,South,tablet,2023-09,2023-11
TXN_350280,USR_00021,2023-10-17,2503.59,Pro Plan,completed,TikTok,East,desktop,2023-10,2023-10
TXN_109767,USR_00021,2023-12-01,7285.12,Enterprise Plan,completed,TikTok,East,desktop,2023-10,2023-12
TXN_172132,USR_00022,2023-02-21,5661.28,Enterprise Plan,completed,Google_Search,Central,mobile,2023-02,2023-02
TXN_240814,USR_00022,2023-05-28,9657.78,Enterprise Plan,completed,Google_Search,Central,desktop,2023-02,2023-05
TXN_820892,USR_00023,2023-10-11,2575.42,Pro Plan,completed,Meta_Facebook,East,tablet,2023-10,2023-10
TXN_196781,USR_00023,2023-11-16,9525.68,Enterprise Plan,completed,Meta_Facebook,East,tablet,2023-10,2023-11
TXN_678478,USR_00024,2023-01-23,5806.91,Enterprise Plan,completed,Google_Search,East,tablet,2023-01,2023-01
TXN_550664,USR_00025,2023-02-27,7911.55,Enterprise Plan,completed,Google_Search,South,mobile,2023-02,2023-02
TXN_799330,USR_00026,2023-01-22,6049.38,Enterprise Plan,completed,Email,East,mobile,2023-01,2023-01
TXN_532322,USR_00027,2023-07-01,2795.91,Pro Plan,completed,TikTok,West,mobile,2023-07,2023-07
TXN_501124,USR_00028,2023-06-20,2680.06,Pro Plan,completed,Organic,South,mobile,2023-06,2023-06
TXN_333752,USR_00028,2023-08-09,1942.39,One-Time Purchase,completed,Organic,South,mobile,2023-06,2023-08
TXN_462479,USR_00030,2023-05-14,553.2,Basic Plan,completed,Meta_Facebook,Central,tablet,2023-05,2023-05
TXN_745414,USR_00032,2023-04-02,3482.39,One-Time Purchase,completed,Email,Central,tablet,2023-04,2023-04
TXN_805477,USR_00033,2023-03-16,5465.94,Enterprise Plan,completed,Email,East,desktop,2023-03,2023-03
TXN_577538,USR_00034,2023-03-17,3171.99,One-Time Purchase,completed,Google_Search,North,desktop,2023-03,2023-03
