cohort_month,0,1,2,3,4,5,6,7
2023-01,107.0,15.0,14.0,4.0,2.0,,,
2023-02,104.0,17.0,18.0,7.0,3.0,1.0,,
2023-03,138.0,28.0,15.0,4.0,,,,
2023-04,124.0,25.0,21.0,5.0,2.0,,,
2023-05,114.0,15.0,15.0,4.0,1.0,,,
2023-06,123.0,21.0,16.0,9.0,2.0,3.0,,
2023-07,143.0,31.0,18.0,19.0,4.0,2.0,1.0,1.0
2023-08,123.0,16.0,20.0,8.0,3.0,,,
2023-09,132.0,25.0,17.0,8.0,1.0,,,
2023-10,142.0,25.0,25.0,9.0,4.0,1.0,,
2023-11,129.0,22.0,20.0,5.0,2.0,1.0,1.0,1.0
2023-12,130.0,30.0,16.0,6.0,4.0,3.0,,
2024-01,23.0,3.0,2.0,,,,,
2024-02,10.0,,3.0,,,,,
2024-03,3.0,,,,,,,
2024-04,1.0,,,,,,,
