user_id,total_revenue,total_orders,average_order_value,purchase_frequency,CLTV
USR_00001,448.38,1,448.38,1,448.38
USR_00002,2172.81,1,2172.81,1,2172.81
USR_00003,5510.05,1,5510.05,1,5510.05
USR_00004,669.36,1,669.36,1,669.36
USR_00005,4116.349999999999,2,2058.17,2,4116.34
USR_00006,4826.13,2,2413.06,2,4826.12
USR_00008,2000.38,1,2000.38,1,2000.38
USR_00010,5556.76,1,5556.76,1,5556.76
USR_00012,9392.61,1,9392.61,1,9392.61
USR_00013,1691.59,1,1691.59,1,1691.59
USR_00014,1919.38,2,959.69,2,1919.38
USR_00015,828.49,1,828.49,1,828.49
USR_00016,11133.779999999999,2,5566.89,2,11133.78
USR_00017,962.18,1,962.18,1,962.18
USR_00018,1607.87,2,803.94,2,1607.88
USR_00020,1645.3000000000002,2,822.65,2,1645.3
USR_00021,9788.71,2,4894.35,2,9788.7
USR_00022,15319.060000000001,2,7659.53,2,15319.06
USR_00023,12101.1,2,6050.55,2,12101.1
USR_00024,5806.91,1,5806.91,1,5806.91
USR_00025,7911.55,1,7911.55,1,7911.55
USR_00026,6049.38,1,6049.38,1,6049.38
USR_00027,2795.91,1,2795.91,1,2795.91
USR_00028,4622.45,2,2311.22,2,4622.44
USR_00030,553.2,1,553.2,1,553.2
USR_00032,3482.39,1,3482.39,1,3482.39
USR_00033,5465.94,1,5465.94,1,5465.94
USR_00034,3171.99,1,3171.99,1,3171.99
USR_00035,535.03,1,535.03,1,535.03
USR_00036,2614.48,1,2614.48,1,2614.48
USR_00037,568.19,1,568.19,1,568.19
USR_00038,2253.14,1,2253.14,1,2253.14
USR_00039,2558.05,2,1279.03,2,2558.06
USR_00041,9958.279999999999,2,4979.14,2,9958.28
USR_00042,6120.11,1,6120.11,1,6120.11
USR_00043,809.67,1,809.67,1,809.67
USR_00048,6610.52,1,6610.52,1,6610.52
USR_00049,5142.5,1,5142.5,1,5142.5
USR_00050,2117.84,2,1058.92,2,2117.84
USR_00051,2825.7799999999997,2,1412.89,2,2825.78
USR_00052,2548.96,1,2548.96,1,2548.96
USR_00053,5424.9,1,5424.9,1,5424.9
USR_00054,4568.97,1,4568.97,1,4568.97
USR_00055,1895.97,1,1895.97,1,1895.97
USR_00056,1667.92,1,1667.92,1,1667.92
USR_00058,8497.67,1,8497.67,1,8497.67
USR_00059,5128.32,1,5128.32,1,5128.32
USR_00061,734.01,1,734.01,1,734.01
USR_00062,5578.61,1,5578.61,1,5578.61
USR_00063,3238.42,1,3238.42,1,3238.42
USR_00064,775.13,1,775.13,1,775.13
USR_00065,7076.45,1,7076.45,1,7076.45
USR_00066,637.12,1,637.12,1,637.12
USR_00067,2168.82,1,2168.82,1,2168.82
USR_00068,5970.27,2,2985.14,2,5970.28
USR_00069,936.1,1,936.1,1,936.1
USR_00071,2445.74,1,2445.74,1,2445.74
USR_00072,8979.72,1,8979.72,1,8979.72
USR_00073,1753.98,1,1753.98,1,1753.98
USR_00074,3297.15,1,3297.15,1,3297.15
USR_00075,719.86,1,719.86,1,719.86
USR_00076,2998.06,1,2998.06,1,2998.06
USR_00078,2409.6,1,2409.6,1,2409.6
USR_00079,8942.05,1,8942.05,1,8942.05
USR_00080,10275.87,2,5137.94,2,10275.88
USR_00081,2630.23,1,2630.23,1,2630.23
USR_00082,631.23,1,631.23,1,631.23
USR_00084,2650.8599999999997,2,1325.43,2,2650.86
USR_00085,9479.16,2,4739.58,2,9479.16
USR_00086,5948.04,1,5948.04,1,5948.04
USR_00087,6216.84,1,6216.84,1,6216.84
USR_00088,2718.58,1,2718.58,1,2718.58
USR_00089,2382.28,1,2382.28,1,2382.28
USR_00090,3446.5299999999997,2,1723.26,2,3446.52
USR_00091,8040.49,1,8040.49,1,8040.49
USR_00092,2675.09,1,2675.09,1,2675.09
USR_00093,5128.299999999999,2,2564.15,2,5128.3
USR_00094,545.62,1,545.62,1,545.62
USR_00096,1731.1,1,1731.1,1,1731.1
USR_00097,5143.77,1,5143.77,1,5143.77
USR_00098,9138.8,2,4569.4,2,9138.8
USR_00099,9000.880000000001,3,3000.29,3,9000.87
USR_00100,4350.76,2,2175.38,2,4350.76
USR_00102,2158.64,1,2158.64,1,2158.64
USR_00103,7307.71,1,7307.71,1,7307.71
USR_00104,11892.220000000001,2,5946.11,2,11892.22
USR_00106,653.79,1,653.79,1,653.79
USR_00107,5090.15,1,5090.15,1,5090.15
USR_00108,1614.75,1,1614.75,1,1614.75
USR_00109,1963.2,1,1963.2,1,1963.2
USR_00110,7922.5599999999995,2,3961.28,2,7922.56
USR_00113,658.34,1,658.34,1,658.34
USR_00114,2637.26,1,2637.26,1,2637.26
USR_00115,821.58,1,821.58,1,821.58
USR_00116,2576.82,1,2576.82,1,2576.82
USR_00117,2495.56,1,2495.56,1,2495.56
USR_00118,4403.66,1,4403.66,1,4403.66
USR_00120,9066.54,1,9066.54,1,9066.54
USR_00121,472.82,1,472.82,1,472.82
USR_00122,4724.45,2,2362.22,2,4724.44
USR_00124,1951.27,1,1951.27,1,1951.27
USR_00125,462.56,1,462.56,1,462.56
USR_00126,1776.61,1,1776.61,1,1776.61
USR_00127,1239.84,1,1239.84,1,1239.84
USR_00129,991.57,1,991.57,1,991.57
USR_00131,2662.46,1,2662.46,1,2662.46
USR_00133,8208.54,1,8208.54,1,8208.54
USR_00134,8875.61,2,4437.8,2,8875.6
USR_00135,6851.799999999999,2,3425.9,2,6851.8
USR_00136,2643.68,1,2643.68,1,2643.68
USR_00137,4842.43,1,4842.43,1,4842.43
USR_00138,8818.28,1,8818.28,1,8818.28
USR_00139,692.17,1,692.17,1,692.17
USR_00140,3345.3199999999997,2,1672.66,2,3345.32
USR_00141,9655.84,1,9655.84,1,9655.84
USR_00142,7373.46,1,7373.46,1,7373.46
USR_00144,4504.84,2,2252.42,2,4504.84
USR_00146,2935.01,1,2935.01,1,2935.01
USR_00147,14284.64,2,7142.32,2,14284.64
USR_00148,2455.92,1,2455.92,1,2455.92
USR_00149,3367.6,1,3367.6,1,3367.6
USR_00150,825.15,1,825.15,1,825.15
USR_00151,997.59,1,997.59,1,997.59
USR_00152,3738.82,2,1869.41,2,3738.82
USR_00153,23168.010000000002,4,5792.0,4,23168.0
USR_00154,6836.72,1,6836.72,1,6836.72
USR_00155,5139.46,2,2569.73,2,5139.46
USR_00156,2445.95,1,2445.95,1,2445.95
USR_00157,521.64,1,521.64,1,521.64
USR_00158,3552.0299999999997,2,1776.02,2,3552.04
USR_00162,1400.39,1,1400.39,1,1400.39
USR_00163,2437.99,1,2437.99,1,2437.99
USR_00164,2217.82,1,2217.82,1,2217.82
USR_00165,1440.44,1,1440.44,1,1440.44
USR_00167,1280.78,1,1280.78,1,1280.78
