user_id,first_purchase_date,cohort_month
USR_00001,2024-01-17,2024-01
USR_00002,2023-10-15,2023-10
USR_00003,2023-06-24,2023-06
USR_00004,2023-01-23,2023-01
USR_00005,2023-07-05,2023-07
USR_00006,2023-07-01,2023-07
USR_00008,2023-09-17,2023-09
USR_00010,2023-01-06,2023-01
USR_00012,2023-06-15,2023-06
USR_00013,2023-02-10,2023-02
USR_00014,2024-02-27,2024-02
USR_00015,2023-08-31,2023-08
USR_00016,2023-01-28,2023-01
USR_00017,2023-10-09,2023-10
USR_00018,2023-09-06,2023-09
USR_00020,2023-09-18,2023-09
USR_00021,2023-10-17,2023-10
USR_00022,2023-02-21,2023-02
USR_00023,2023-10-11,2023-10
USR_00024,2023-01-23,2023-01
USR_00025,2023-02-27,2023-02
USR_00026,2023-01-22,2023-01
USR_00027,2023-07-01,2023-07
USR_00028,2023-06-20,2023-06
USR_00030,2023-05-14,2023-05
USR_00032,2023-04-02,2023-04
USR_00033,2023-03-16,2023-03
USR_00034,2023-03-17,2023-03
USR_00035,2024-02-08,2024-02
USR_00036,2023-09-16,2023-09
USR_00037,2023-06-28,2023-06
USR_00038,2023-02-02,2023-02
USR_00039,2023-10-27,2023-10
USR_00041,2023-01-14,2023-01
USR_00042,2023-08-29,2023-08
USR_00043,2023-01-21,2023-01
USR_00048,2023-10-03,2023-10
USR_00049,2023-05-05,2023-05
USR_00050,2023-12-20,2023-12
USR_00051,2023-11-29,2023-11
USR_00052,2023-09-09,2023-09
USR_00053,2023-10-01,2023-10
USR_00054,2023-11-13,2023-11
USR_00055,2023-01-31,2023-01
USR_00056,2023-03-22,2023-03
USR_00058,2023-04-10,2023-04
USR_00059,2023-11-03,2023-11
USR_00061,2023-04-03,2023-04
USR_00062,2023-07-13,2023-07
USR_00063,2023-01-28,2023-01
USR_00064,2023-11-08,2023-11
USR_00065,2023-11-28,2023-11
USR_00066,2023-07-16,2023-07
USR_00067,2023-05-25,2023-05
USR_00068,2023-07-13,2023-07
USR_00069,2023-01-19,2023-01
USR_00071,2023-09-07,2023-09
USR_00072,2023-03-27,2023-03
USR_00073,2023-08-09,2023-08
USR_00074,2023-09-12,2023-09
USR_00075,2023-08-27,2023-08
USR_00076,2023-12-20,2023-12
USR_00078,2023-01-26,2023-01
USR_00079,2023-12-14,2023-12
USR_00080,2023-03-09,2023-03
USR_00081,2023-06-23,2023-06
USR_00082,2023-10-13,2023-10
USR_00084,2023-11-22,2023-11
USR_00085,2023-03-21,2023-03
USR_00086,2023-11-27,2023-11
USR_00087,2023-11-25,2023-11
USR_00088,2023-04-16,2023-04
USR_00089,2023-01-14,2023-01
USR_00090,2023-09-20,2023-09
USR_00091,2023-09-09,2023-09
USR_00092,2023-10-08,2023-10
USR_00093,2023-11-30,2023-11
USR_00094,2023-12-18,2023-12
USR_00096,2023-11-04,2023-11
USR_00097,2023-09-01,2023-09
USR_00098,2023-08-03,2023-08
USR_00099,2023-06-11,2023-06
USR_00100,2023-12-09,2023-12
USR_00102,2023-10-17,2023-10
USR_00103,2023-10-30,2023-10
USR_00104,2023-10-25,2023-10
USR_00106,2023-08-04,2023-08
USR_00107,2023-12-17,2023-12
USR_00108,2023-09-06,2023-09
USR_00109,2023-09-30,2023-09
USR_00110,2023-10-20,2023-10
USR_00113,2023-07-17,2023-07
USR_00114,2023-03-12,2023-03
USR_00115,2023-01-10,2023-01
USR_00116,2023-09-13,2023-09
USR_00117,2023-11-11,2023-11
USR_00118,2023-10-06,2023-10
USR_00120,2023-06-20,2023-06
USR_00121,2023-09-03,2023-09
USR_00122,2023-01-19,2023-01
USR_00124,2023-08-17,2023-08
USR_00125,2023-06-11,2023-06
USR_00126,2023-02-09,2023-02
USR_00127,2023-11-11,2023-11
USR_00129,2023-11-23,2023-11
USR_00131,2023-10-10,2023-10
USR_00133,2024-01-24,2024-01
USR_00134,2023-12-17,2023-12
USR_00135,2023-03-08,2023-03
USR_00136,2023-05-08,2023-05
USR_00137,2023-09-12,2023-09
USR_00138,2023-02-25,2023-02
USR_00139,2023-04-10,2023-04
USR_00140,2023-11-16,2023-11
USR_00141,2023-09-23,2023-09
