cohort_month,0,1,2,3,4,5,6,7
2023-01,100.0,14.02,13.08,3.74,1.87,,,
2023-02,100.0,16.35,17.31,6.73,2.88,0.96,,
2023-03,100.0,20.29,10.87,2.9,,,,
2023-04,100.0,20.16,16.94,4.03,1.61,,,
2023-05,100.0,13.16,13.16,3.51,0.88,,,
2023-06,100.0,17.07,13.01,7.32,1.63,2.44,,
2023-07,100.0,21.68,12.59,13.29,2.8,1.4,0.7,0.7
2023-08,100.0,13.01,16.26,6.5,2.44,,,
2023-09,100.0,18.94,12.88,6.06,0.76,,,
2023-10,100.0,17.61,17.61,6.34,2.82,0.7,,
2023-11,100.0,17.05,15.5,3.88,1.55,0.78,0.78,0.78
2023-12,100.0,23.08,12.31,4.62,3.08,2.31,,
2024-01,100.0,13.04,8.7,,,,,
2024-02,100.0,,30.0,,,,,
2024-03,100.0,,,,,,,
2024-04,100.0,,,,,,,
