transaction_id,user_id,purchase_date,amount_inr,product,status,acquisition_channel,region,device
TXN_207473,USR_00001,2023-11-24,1833.82,Pro Plan,failed,Google_Search,North,tablet
TXN_329258,USR_00001,2024-01-17,448.38,One-Time Purchase,completed,Google_Search,North,mobile
TXN_948749,USR_00002,2023-10-15,2172.81,Pro Plan,completed,Meta_Facebook,Central,mobile
TXN_201414,USR_00003,2023-06-24,5510.05,Enterprise Plan,completed,Email,South,desktop
TXN_969693,USR_00004,2023-01-23,669.36,One-Time Purchase,completed,Organic,Central,tablet
TXN_183667,USR_00005,2023-07-05,829.63,Basic Plan,completed,TikTok,South,mobile
TXN_270555,USR_00005,2023-07-31,3286.72,One-Time Purchase,completed,TikTok,South,desktop
TXN_271339,USR_00006,2023-07-01,2300.21,Pro Plan,completed,Meta_Facebook,East,desktop
TXN_340174,USR_00006,2023-08-14,2525.92,Pro Plan,completed,Meta_Facebook,East,mobile
TXN_852787,USR_00007,2023-06-11,2868.7,Pro Plan,refunded,Organic,East,desktop
TXN_665158,USR_00008,2023-07-22,1868.94,Pro Plan,refunded,Organic,South,desktop
TXN_634277,USR_00008,2023-09-17,2000.38,One-Time Purchase,completed,Organic,South,desktop
TXN_590785,USR_00009,2023-02-26,691.38,Basic Plan,refunded,Meta_Facebook,South,tablet
TXN_265840,USR_00010,2023-01-06,5556.76,Enterprise Plan,completed,Google_Search,Central,desktop
TXN_738551,USR_00011,2023-05-15,9207.35,Enterprise Plan,refunded,TikTok,South,mobile
TXN_100599,USR_00011,2023-06-13,2308.07,Pro Plan,refunded,TikTok,South,tablet
TXN_351083,USR_00012,2023-06-15,9392.61,Enterprise Plan,completed,Organic,North,mobile
TXN_676510,USR_00013,2023-02-10,1691.59,Pro Plan,completed,Google_Search,West,mobile
TXN_891952,USR_00013,2023-03-18,4831.51,One-Time Purchase,refunded,Google_Search,West,tablet
TXN_573417,USR_00014,2023-12-20,7189.5,Enterprise Plan,refunded,Meta_Facebook,East,mobile
TXN_341292,USR_00014,2024-01-24,5104.17,Enterprise Plan,refunded,Meta_Facebook,East,tablet
TXN_446479,USR_00014,2024-02-27,613.47,Basic Plan,completed,Meta_Facebook,East,mobile
TXN_858490,USR_00014,2024-04-19,1305.91,One-Time Purchase,completed,Meta_Facebook,East,tablet
TXN_544154,USR_00015,2023-08-31,828.49,Basic Plan,completed,Organic,South,desktop
TXN_360735,USR_00016,2023-01-28,9001.96,Enterprise Plan,completed,Google_Search,North,mobile
TXN_585100,USR_00016,2023-03-01,2131.82,Pro Plan,completed,Google_Search,North,mobile
TXN_274389,USR_00017,2023-10-09,962.18,Basic Plan,completed,Google_Search,North,desktop
TXN_509386,USR_00018,2023-09-06,581.32,Basic Plan,completed,Organic,South,desktop
TXN_328275,USR_00018,2023-10-25,1026.55,One-Time Purchase,completed,Organic,South,mobile
TXN_265080,USR_00019,2023-02-01,2662.4,One-Time Purchase,refunded,Email,North,mobile
TXN_523389,USR_00020,2023-09-18,836.61,Basic Plan,completed,Google_Search,South,mobile
TXN_789305,USR_00020,2023-11-13,808.69,Basic Plan,completed,Google_Search,South,tablet
TXN_350280,USR_00021,2023-10-17,2503.59,Pro Plan,completed,TikTok,East,desktop
TXN_109767,USR_00021,2023-12-01,7285.12,Enterprise Plan,completed,TikTok,East,desktop
TXN_172132,USR_00022,2023-02-21,5661.28,Enterprise Plan,completed,Google_Search,Central,mobile
TXN_417212,USR_00022,2023-04-05,4217.6,One-Time Purchase,failed,Google_Search,Central,tablet
TXN_240814,USR_00022,2023-05-28,9657.78,Enterprise Plan,completed,Google_Search,Central,desktop
TXN_820892,USR_00023,2023-10-11,2575.42,Pro Plan,completed,Meta_Facebook,East,tablet
TXN_196781,USR_00023,2023-11-16,9525.68,Enterprise Plan,completed,Meta_Facebook,East,tablet
TXN_678478,USR_00024,2023-01-23,5806.91,Enterprise Plan,completed,Google_Search,East,tablet
TXN_550664,USR_00025,2023-02-27,7911.55,Enterprise Plan,completed,Google_Search,South,mobile
TXN_799330,USR_00026,2023-01-22,6049.38,Enterprise Plan,completed,Email,East,mobile
TXN_532322,USR_00027,2023-07-01,2795.91,Pro Plan,completed,TikTok,West,mobile
TXN_501124,USR_00028,2023-06-20,2680.06,Pro Plan,completed,Organic,South,mobile
TXN_333752,USR_00028,2023-08-09,1942.39,One-Time Purchase,completed,Organic,South,mobile
TXN_447235,USR_00029,2023-05-23,3492.74,One-Time Purchase,refunded,Google_Search,East,mobile
TXN_462479,USR_00030,2023-05-14,553.2,Basic Plan,completed,Meta_Facebook,Central,tablet
TXN_299312,USR_00030,2023-06-23,691.6,Basic Plan,refunded,Meta_Facebook,Central,desktop
TXN_446239,USR_00031,2023-01-01,7155.49,Enterprise Plan,failed,TikTok,Central,tablet
TXN_410016,USR_00032,2023-03-05,1832.06,One-Time Purchase,failed,Email,Central,tablet
TXN_745414,USR_00032,2023-04-02,3482.39,One-Time Purchase,completed,Email,Central,tablet
TXN_786508,USR_00033,2023-01-01,3992.07,One-Time Purchase,refunded,Email,East,desktop
TXN_277934,USR_00033,2023-02-19,2265.76,Pro Plan,failed,Email,East,tablet
TXN_805477,USR_00033,2023-03-16,5465.94,Enterprise Plan,completed,Email,East,desktop
TXN_577538,USR_00034,2023-03-17,3171.99,One-Time Purchase,completed,Google_Search,North,desktop
TXN_105814,USR_00035,2023-12-23,1720.36,Pro Plan,failed,Organic,West,mobile
TXN_989545,USR_00035,2024-02-08,535.03,One-Time Purchase,completed,Organic,West,mobile
TXN_724377,USR_00035,2024-03-28,3436.62,One-Time Purchase,refunded,Organic,West,desktop
TXN_571932,USR_00036,2023-09-16,2614.48,Pro Plan,completed,Organic,Central,desktop
TXN_399607,USR_00037,2023-05-22,7198.36,Enterprise Plan,failed,TikTok,West,mobile
TXN_501641,USR_00037,2023-06-28,568.19,Basic Plan,completed,TikTok,West,tablet
TXN_973349,USR_00038,2023-02-02,2253.14,One-Time Purchase,completed,Organic,West,desktop
TXN_413118,USR_00039,2023-10-27,326.71,One-Time Purchase,completed,Google_Search,Central,desktop
TXN_557007,USR_00039,2023-12-12,2231.34,Pro Plan,completed,Google_Search,Central,desktop
TXN_128276,USR_00040,2023-12-09,2970.08,Pro Plan,refunded,Organic,South,desktop
TXN_497519,USR_00041,2023-01-14,1153.13,One-Time Purchase,completed,Google_Search,West,desktop
