user_id,signup_date,acquisition_channel,region,age_group,gender,plan_type,is_active
USR_00001,2023-11-24,Google_Search,North,35-44,Other,Pro Plan,0
USR_00002,2023-10-15,Meta_Facebook,Central,45-54,Other,Pro Plan,0
USR_00003,2023-06-24,Email,South,45-54,Female,Enterprise Plan,1
USR_00004,2023-01-23,Organic,Central,45-54,Male,One-Time Purchase,0
USR_00005,2023-07-05,TikTok,South,18-24,Female,Basic Plan,1
USR_00006,2023-07-01,Meta_Facebook,East,45-54,Other,Pro Plan,1
USR_00007,2023-06-11,Organic,East,18-24,Female,Pro Plan,0
USR_00008,2023-07-22,Organic,South,18-24,Male,Pro Plan,1
USR_00009,2023-02-26,Meta_Facebook,South,25-34,Other,Basic Plan,1
USR_00010,2023-01-06,Google_Search,Central,45-54,Male,Enterprise Plan,1
USR_00011,2023-05-15,TikTok,South,45-54,Female,Enterprise Plan,1
USR_00012,2023-06-15,Organic,North,45-54,Female,Enterprise Plan,1
USR_00013,2023-02-10,Google_Search,West,18-24,Other,Pro Plan,1
USR_00014,2023-12-20,Meta_Facebook,East,18-24,Other,Enterprise Plan,0
USR_00015,2023-08-31,Organic,South,18-24,Other,Basic Plan,1
USR_00016,2023-01-28,Google_Search,North,45-54,Female,Enterprise Plan,1
USR_00017,2023-10-09,Google_Search,North,35-44,Other,Basic Plan,1
USR_00018,2023-09-06,Organic,South,25-34,Female,Basic Plan,1
USR_00019,2023-02-01,Email,North,35-44,Other,One-Time Purchase,0
USR_00020,2023-09-18,Google_Search,South,55+,Other,Basic Plan,1
USR_00021,2023-10-17,TikTok,East,18-24,Female,Pro Plan,1
USR_00022,2023-02-21,Google_Search,Central,18-24,Other,Enterprise Plan,1
USR_00023,2023-10-11,Meta_Facebook,East,45-54,Female,Pro Plan,1
USR_00024,2023-01-23,Google_Search,East,45-54,Female,Enterprise Plan,1
USR_00025,2023-02-27,Google_Search,South,18-24,Male,Enterprise Plan,1
USR_00026,2023-01-22,Email,East,25-34,Other,Enterprise Plan,0
USR_00027,2023-07-01,TikTok,West,18-24,Female,Pro Plan,1
USR_00028,2023-06-20,Organic,South,35-44,Female,Pro Plan,1
USR_00029,2023-05-23,Google_Search,East,35-44,Male,One-Time Purchase,1
USR_00030,2023-05-14,Meta_Facebook,Central,35-44,Male,Basic Plan,1
USR_00031,2023-01-01,TikTok,Central,55+,Female,Enterprise Plan,0
USR_00032,2023-03-05,Email,Central,45-54,Other,One-Time Purchase,1
USR_00033,2023-01-01,Email,East,45-54,Female,One-Time Purchase,1
USR_00034,2023-03-17,Google_Search,North,45-54,Male,One-Time Purchase,1
USR_00035,2023-12-23,Organic,West,55+,Male,Pro Plan,0
USR_00036,2023-09-16,Organic,Central,55+,Male,Pro Plan,0
USR_00037,2023-05-22,TikTok,West,25-34,Female,Enterprise Plan,1
USR_00038,2023-02-02,Organic,West,25-34,Male,One-Time Purchase,1
USR_00039,2023-10-27,Google_Search,Central,18-24,Male,One-Time Purchase,1
USR_00040,2023-12-09,Organic,South,45-54,Other,Pro Plan,0
USR_00041,2023-01-14,Google_Search,West,55+,Female,One-Time Purchase,1
USR_00042,2023-08-29,Google_Search,Central,55+,Other,Enterprise Plan,1
USR_00043,2023-01-21,Google_Search,South,18-24,Female,Basic Plan,1
USR_00044,2023-04-22,Organic,East,25-34,Other,Pro Plan,0
USR_00045,2023-02-25,TikTok,North,45-54,Female,One-Time Purchase,0
USR_00046,2023-11-18,Meta_Facebook,North,45-54,Male,Basic Plan,1
USR_00047,2023-02-24,Organic,East,45-54,Female,Pro Plan,0
USR_00048,2023-10-03,Organic,West,25-34,Male,Enterprise Plan,1
USR_00049,2023-05-05,Organic,Central,45-54,Male,Enterprise Plan,1
USR_00050,2023-12-20,Organic,West,35-44,Other,Basic Plan,1
USR_00051,2023-10-02,Meta_Facebook,South,25-34,Other,One-Time Purchase,1
USR_00052,2023-09-09,Google_Search,North,45-54,Other,One-Time Purchase,0
USR_00053,2023-09-02,Google_Search,North,25-34,Male,One-Time Purchase,1
USR_00054,2023-11-13,Meta_Facebook,Central,55+,Male,One-Time Purchase,1
USR_00055,2023-01-31,TikTok,North,25-34,Male,Pro Plan,1
USR_00056,2023-03-22,Google_Search,West,45-54,Other,One-Time Purchase,0
USR_00057,2023-08-21,Google_Search,South,18-24,Female,Pro Plan,1
USR_00058,2023-03-14,Google_Search,North,45-54,Male,Enterprise Plan,1
USR_00059,2023-11-03,Google_Search,West,45-54,Female,Enterprise Plan,1
USR_00060,2023-12-11,Email,Central,35-44,Female,Pro Plan,0
USR_00061,2023-04-03,TikTok,West,45-54,Male,Basic Plan,0
USR_00062,2023-06-18,Organic,West,25-34,Female,One-Time Purchase,1
USR_00063,2023-01-28,Meta_Facebook,Central,45-54,Female,One-Time Purchase,1
USR_00064,2023-11-08,Meta_Facebook,South,18-24,Other,Basic Plan,0
USR_00065,2023-11-28,Meta_Facebook,West,45-54,Female,Enterprise Plan,0
USR_00066,2023-07-16,Meta_Facebook,Central,35-44,Other,Basic Plan,1
USR_00067,2023-05-25,Email,Central,35-44,Other,Pro Plan,1
USR_00068,2023-07-13,Organic,East,35-44,Other,Pro Plan,1
USR_00069,2023-01-19,Meta_Facebook,Central,25-34,Other,Basic Plan,1
USR_00070,2023-05-16,Email,Central,25-34,Female,Basic Plan,0
USR_00071,2023-09-07,TikTok,North,35-44,Male,Pro Plan,1
USR_00072,2023-03-27,Email,North,45-54,Female,Enterprise Plan,0
USR_00073,2023-08-09,Meta_Facebook,South,45-54,Other,Pro Plan,0
USR_00074,2023-09-12,TikTok,South,35-44,Male,One-Time Purchase,1
USR_00075,2023-08-27,Email,Central,25-34,Male,Basic Plan,0
USR_00076,2023-12-20,Email,West,45-54,Female,Pro Plan,1
USR_00077,2023-10-22,Email,East,18-24,Female,One-Time Purchase,0
USR_00078,2023-01-26,TikTok,West,35-44,Male,Pro Plan,1
USR_00079,2023-12-14,Meta_Facebook,North,18-24,Male,Enterprise Plan,1
USR_00080,2023-03-09,Google_Search,East,45-54,Male,One-Time Purchase,1
USR_00081,2023-06-23,Google_Search,West,18-24,Other,Pro Plan,1
USR_00082,2023-10-13,Email,North,18-24,Other,Basic Plan,1
USR_00083,2023-11-23,Email,North,55+,Female,One-Time Purchase,1
USR_00084,2023-11-22,Organic,East,45-54,Female,Basic Plan,0
USR_00085,2023-03-21,Organic,North,35-44,Other,One-Time Purchase,1
USR_00086,2023-11-27,Email,North,25-34,Other,Enterprise Plan,1
USR_00087,2023-11-25,TikTok,North,35-44,Female,Enterprise Plan,1
USR_00088,2023-04-16,Google_Search,Central,55+,Female,Pro Plan,0
USR_00089,2023-01-14,Meta_Facebook,North,35-44,Male,Pro Plan,1
USR_00090,2023-09-20,TikTok,North,25-34,Male,Pro Plan,1
USR_00091,2023-09-09,Organic,North,45-54,Female,Enterprise Plan,1
USR_00092,2023-10-08,Email,West,18-24,Male,One-Time Purchase,1
USR_00093,2023-11-30,TikTok,South,45-54,Male,One-Time Purchase,1
USR_00094,2023-12-18,Organic,North,18-24,Male,Basic Plan,1
USR_00095,2023-10-12,Google_Search,Central,35-44,Other,Basic Plan,1
USR_00096,2023-11-04,Email,East,45-54,Male,Pro Plan,1
USR_00097,2023-07-08,Google_Search,East,55+,Other,One-Time Purchase,0
USR_00098,2023-08-03,Organic,East,35-44,Male,Enterprise Plan,1
USR_00099,2023-04-21,TikTok,North,55+,Male,One-Time Purchase,1
USR_00100,2023-12-09,Email,North,55+,Male,Basic Plan,0
